parent,address,distance,pname,importance,biz_ext,biz_type,cityname,type,photos,typecode,shopinfo,poiweight,childtype,adname,name,location,tel,shopid,id
[],光前村龙井路170号8铺,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/bd520044ee6a8c1dd689804735b1704d.jpg'}, {'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/1469396ee46330da2a953ac36d4586f6.jpg'}, {'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/73c3fa3a1d801016f57e6020332b3766.jpg'}]",090300,2,[],[],南山区,深圳王行军诊所,"113.962911,22.562536",13410585786,[],B0I6CAJS55
[],六约牛始埔礼耕路98号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/bed6a4e7894afa433dfe20135a4e5082'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/ad62e43b8f651ca8b6e466576919cff0'}]",090300,2,[],[],龙岗区,深圳广福中医综合诊所,"114.186550,22.631538",[],[],B0JDOABLGY
[],灵芝园新村东北门旁,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/6271e155841fefc6072166c8da7d5f3d'}]",090300,2,[],[],宝安区,彭可真诊所,"113.911249,22.568616",0755-27752339,[],B02F38SVGF
B0FFH3R2XO,宝田三路途窝大厦(平峦山地铁站A口步行120米),[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;专科医院;专科医院|医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/519122cfc19261fcfcca4ef2a9fff3e5.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/ff8619ada94f99838c1ac8941ae0e6fd'}]",090200|090300,2,[],202,宝安区,朱梅诊所,"113.871373,22.602326",[],[],B0JUFOTY1Z
[],布吉街道布吉一村一村街33号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/f03544669e8a241b763fc3fea947d604'}]",090300,2,[],[],龙岗区,深圳梁杨诊所,"114.116483,22.601680",[],[],B0GD5R5SSB
[],翠园街38-10(晒布地铁站A2口步行380米),[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/40d3d3f9b927c4fe3ddfb5cc4c2aa92f'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/5640bb86ad6dc31654670232ab3a6d96'}]",090300,2,[],[],罗湖区,深圳陈文治诊所,"114.126612,22.550179",0755-22208978,[],B0FFGZPZQL
[],福强路2006号(福田口岸地铁站D2口步行380米),[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所|医疗保健服务;专科医院;专科医院,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/0f7997deb15a478419c818687d1eaaef'}, {'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/d17cd8e7193ee2409409236f597457c3.jpg'}, {'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/4245e6713a8dc98907ab145a4408fcc0.jpg'}]",090300|090200,2,[],[],福田区,洪琪诊所,"114.064230,22.518060",[],[],B0IG59MWFT
[],新和村桥新路13-1号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/6c4acdddf67389aeb834997c9b6aea6a'}, {'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/012c832fd1372cfc0d107dc9fe785a95.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/be2a0ff011d237765a4afbe2a46ced1c'}]",090300,2,[],[],宝安区,深圳德泰诊所,"113.799308,22.673243",[],[],B0J2C631H9
[],坪地街道22小区建设路18号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/56df6a3355686d8617d76829e794f785'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/79cc8ae86f6c9699280c13ecb0848c67'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/25868eaf8cc8bbd91e8ee2674dcd8b16'}]",090300,2,[],[],龙岗区,深圳张俞诊所,"114.311424,22.772370",13715019529;13979237598,[],B0IAFOBYOB
[],龙东社区龙南路319号(新塘围地铁站A口步行410米),[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/39fd5f899ee7b17077a7a4d0786779fa'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/c602512cd9c058aeca13ffe4ea9d605f'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/21a08fcf0557b414031f35a3e278e74e'}]",090300,2,[],[],龙岗区,深圳元康诊所,"114.282772,22.725421",18238699875,[],B0HGDA8EAI
[],凤凰街道塘家新村一巷13-2,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/367f307465e5a8fec946293465a235d7'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/d0f9001e9a30c7f066d26518083303ee'}]",090300,2,[],[],光明区,深圳家学诊所,"113.938690,22.729958",13267238280,[],B0FFKG8WUW
[],吉华街道水径社区下水径吉华路305号1-2层,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/363c949ebb059f1dd7faad9d5371b447.jpg'}, {'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/f5857c40af3c6dddc13322d219b2c140.jpg'}, {'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/f625e9814f3f7b77d64ca81cedda185c.jpg'}]",090300,2,[],[],龙岗区,深圳天成诊所,"114.109937,22.617291",0755-28683903,[],B0FFJXROGH
[],东岳路12号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/23d348c1bffe668cc06a41135b7e9abd'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/3267a54cc81915d5093b5da77127954a'}]",090300,2,[],[],宝安区,深圳振东诊所,"113.815007,22.741509",13530600339,[],B0FFKZDCM1
[],裕安二路240号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/0ccb3808aea83a59783a7f472b0c5b17'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/987ae18fb3892b269fd0cbb7bd6dd856'}]",090300,2,[],[],宝安区,深圳裕安诊所,"113.905754,22.576436",[],[],B0H6BRER6X
[],东龙新村3区1号1楼,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/dc908a39afcfb2c712bba8e3051c98c5'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/221f0ff56d556ff55ae4676e89c1facc'}]",090300,2,[],[],龙华区,深圳和悦诊所,"114.023829,22.636828",18098974877,[],B0FFKWN09R
[],吉华街道丽湖社区上水花园122栋101,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/9056dbab0dde92cbf7d30441f74c833c'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/af931a4951fc6fc8ce4ce3da750c7031'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/7a0fc1f7a2b811157e56fc7b8ddbc88a'}]",090300,2,[],[],龙岗区,深圳郑周诊所,"114.108153,22.627367",0755-89671153;13609615748,[],B0FFK62896
[],平湖街道横岭路16号南,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/53fc2a002f6bdb01bdb41a822872e0db.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/c332d69d7c115283325c8a3aaf8f2c33'}]",090300,2,[],[],龙岗区,深圳黄建诊所,"114.136587,22.694630",13590415960,[],B0FFJ55OSQ
[],万丰中路471-1号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/1c0916f42f0f9dca5e06f0344b00c9f0'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0FFIMTW49/headerImg/4d1b15b22b4baee1e4e7147aa2d584a9_2048_2048_80.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/5b738cc64fd474067667d094327f6844'}]",090300,2,[],[],宝安区,深圳陈进海诊所,"113.826240,22.725951",0755-27462877;13603069027,[],B0FFIMTW49
[],辅城社区工业大道41号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/0a154574f952105004c4b0efcc467262.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/fd550b054de73e1bef2d442c5a62c688'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/442daacd7a854be45d80cb4af11e1fb2'}]",090300,2,[],[],龙岗区,鲁豫诊所,"114.111394,22.691334",18476369845,[],B0FFKCF8DP
[],福永街道白石厦新塘工业区永平二路9-5,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/b139f5142072afea672f7428b88eccac.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/40fe23bd3b65ec6ff1c5435b369cc279'}]",090300,2,[],[],宝安区,新堂诊所,"113.831525,22.671009",13632650941,[],B0FFISKOM0
[],福宁街13号(赤尾地铁站E口步行450米),[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/55acc039a310a084c90f2ce1'}]",090300,2,[],[],福田区,张锋诊所,"114.082113,22.530313",0755-83391783,[],B02F38SW2B
[],楼村新村东南门旁,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/6e38ac1c153937be3744b1bdbd31eddd.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/9145b244dcf9cef83dcb44b0632c3086'}]",090300,2,[],[],光明区,海斌诊所,"113.930644,22.782524",[],[],B0HBRP58EE
[],杨田路15-8号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/ca90d85ce3b43979d3d886a0a69ec698'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/aac6b27ddbe5438dcc1144b2089ccb48'}]",090300,2,[],[],龙岗区,深圳壹和中医诊所,"114.271164,22.740193",18923891262,[],B0JD47HP8T
[],南澳街道办关厂路8-1号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/47c728bd85a680678cef55c145da504c'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/f73e28d28d02dca87fe6dec14ec10d0d'}]",090300,2,[],[],龙岗区,深圳泰安堂诊所,"114.493200,22.533351",13794457008;18825201386,[],B0FFKCN9HX
[],华旺路21-9号(阳台山东地铁站A口步行440米),[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/07c9c0b1f036ef9d8cb1cf34e15b3e73'}]",090300,2,[],[],龙华区,深圳李艳诊所,"113.990926,22.671158",15811820908,[],B0KB41XBVE
[],平湖镇北门街21号(双拥街地铁站C口步行210米),[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/34121f1be21cb17cf35807cf1d8aea34'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/e10ec722192bf1056c22cc5c5e2d6a18'}]",090300,2,[],[],龙岗区,石建国诊所,"114.132277,22.697671",[],[],B0FFI0PU8G
[],坪山街道东纵路85-2号车天地汽车销售服务有限公司,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/c7046dc8b6ad25bddf70f17778ab91dd.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/da2642f7f068f67e0cc9b4ba668668dd'}]",090300,2,[],[],坪山区,深圳曾剑辉诊所,"114.366873,22.686135",13713972393,[],B0H6YCBU56
[],航城街道鹤洲东区九巷3号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/7de466b5-bcf0-4e6a-aa42-366d455091f0.jpg'}, {'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/77632125-b809-42f1-91f9-826ba5aa90f2.jpg'}, {'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/f9e149c566d9ccf34189b960e1433441.jpg'}]",090300,2,[],[],宝安区,李娜诊所,"113.861606,22.625497",13360079436,[],B0FFIRCOYA
[],新田大道海宾公寓157号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/451708c728c77af16a1ea1337c2127c4'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0FFI67BTR/headerImg/3ef769cfb543d60524597ed26bee8fa8_2048_2048_80.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/144ccd1e76cbf41e8c78d9cf932e8bf6'}]",090300,2,[],[],宝安区,世通诊所,"113.829709,22.691461",0755-27312405,[],B0FFI67BTR
[],横岗镇大康村奔康路2号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;专科医院;专科医院|医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/8e5679b13c2f1185e5cc3d3bbb7ed4e8.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/9448bfe3c9f70972e19fd243c652a199'}]",090200|090300,2,[],[],龙岗区,廖康诊所,"114.242294,22.648588",[],[],B0FFIRWDLR
[],光彩新世纪北门旁(南山地铁站D口步行150米),[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/ff91d4d246709becb5f726145783dee6'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/c226d576b5c380defd87b2bcc2dd0bc6'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/2306c14aa4aaf60a178301fcb61c1a34'}]",090300,2,[],[],南山区,深圳文馨诊所,"113.924935,22.523027",19926441562,[],B0FFLII1P4
[],新安街道宝民社区宝民一路灶下村一坊七巷2号102,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/62bfceb4eac243bebce269b8439b19aa'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/7c355ffdce1a54fefe53ed1a3f82b7b9'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/bb1f41baa7ba3f60aa33fb4532fd0381'}]",090300,2,[],[],宝安区,深圳龙泉中医(综合)诊所,"113.899348,22.566099",13266587758;15112556535,[],B0HD141WBJ
[],平湖街道辅城坳社区白龙头五巷二号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/images/publish/cce300ba2ca0400bf3a9416b5208ac57.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/5fcfb192df339f77aa62ee49ce1b5086'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/e24ba0a69d5fe8d45b394ac6aa4b9ee8'}]",090300,2,[],[],龙岗区,深圳济民诊所,"114.097851,22.691354",[],[],B0FFMDX170
[],西乡固戍南昌二队东区九巷六号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/4600b3cb581085ea0710edb46270c98c'}]",090300,2,[],[],宝安区,深圳善念诊所,"113.841058,22.600782",13841885695,[],B0JG1LPIFW
[],福永街道和平社区玻璃围新村南五巷11-1号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/fe66b16d2de0ab599632d0a78b33399a'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/f3638d820baf19dc7f0a107f8b842104'}, {'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/6d3f486e63e590a904d9302a80c6d6ee.jpg'}]",090300,2,[],[],宝安区,周林诊所,"113.794847,22.689882",[],[],B0FFJ3OXO5
[],万科麓城金域中央花园F栋101,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/408a0d315046e7b7881ff9b962d77e07'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/daf20c6f7caac73a6cdf34bcfe25c82f'}]",090300,2,[],[],龙岗区,众医诊所,"114.104696,22.625027",[],[],B0FFKBD01K
[],坂田街道坂田社区长坑路东四巷1号101,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/dde8c9228af8b467f33085a73c245290.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0JDSZU2P7/headerImg/045e16b47c437aeb9f0ff8d5cd4e6471_2048_2048_80.jpg'}, {'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/53f23e70f1a69332f286e6876335dff6.jpg'}]",090300,2,[],[],龙华区,深圳汉青诊所,"114.000281,22.672270",13597400903,[],B0JDSZU2P7
[],福田村牛巷坊67号102室(福田路沃尔玛旁),[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/e57cbf277e851b419a082ed6a55464b6'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/fbf068ae64a75a2b7adc4f88183e7650'}]",090300,2,[],[],福田区,深圳顺平诊所,"114.080577,22.532523",13828849372,[],B0FFJ30DT2
[],福景花园东北门北50米(龙华地铁站D口步行300米),[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/c9be6606b424d93748becf2dca3630d4'}]",090300,2,[],[],龙华区,深圳路航诊所,"114.022994,22.649013",13430499505,[],B0H3275VSF
[],福星路19-1号(赤尾地铁站E口步行340米),[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/064f9a5f2022fb4f5b988d3e8969a6f8.jpg'}, {'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/1e525a1e60b8c5dc2ec2545c40ae5817.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B02F38SYH4/headerImg/a22509f591c5a11429cfd2a799bd635d_2048_2048_80.jpg'}]",090300,2,[],[],福田区,林伟槟诊所,"114.080630,22.531321",0755-83336637,[],B02F38SYH4
[],坪地街道中心白石塘村发展路90-2号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/9014e316b530f16c0ca8c311094a6973'}, {'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/b884c95bfbe81685e40b3235e1d20dac.jpg'}, {'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/8c326ddbad7525a347a97fdaa31c65cf.jpg'}]",090300,2,[],[],龙岗区,深圳曾辉诊所,"114.300216,22.779311",15818577299,[],B0FFIS2HOZ
[],南湾街道下李朗社区深朗北33号楼,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/c2f568e50b2dc35ddcee147ccb70b80d'}, {'title': [], 'url': 'http://s-pic.oss-cn-beijing.aliyuncs.com/desensitize/deep/images/publish/189699834031ba9376278b19393462ee.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/c0859a53bdfba941e0ae3e749cb957f7'}]",090300,2,[],[],龙岗区,深圳深源诊所,"114.127922,22.645054",[],[],B0JRUZR7FL
[],民治街道民治社区皓月花园1栋8号,[],广东省,[],"{'cost': [], 'rating': []}",[],深圳市,医疗保健服务;诊所;诊所,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/e9b0429c3df17c1105f79bc152ea8245'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/9ae329dc68973ac6ece18d57949bfcad'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/beaacc716bfb04571cbc585bfe3087cb'}]",090300,2,[],[],龙华区,深圳吉丽诊所,"114.044621,22.616171",13145994731,[],B0G14AESYE
